"fa href","title","title href","discourse-tag","discourse-tag href","discourse-tags__tag-separator","discourse-tag 2","discourse-tag href 2","discourse-tags__tag-separator 2","discourse-tag 3","discourse-tag href 3","avatar src","latest href","avatar src 2","badge-posts href","number","number 2","post-activity href","relative-date","group-ds-students href","group-ds-students href 2","group-ds-students href 3","avatar src 3","group-ds-students href 4","avatar src 4","avatar src 5"
"[object Object]","GA4 - Data Sourcing - Discussion Thread [TDS May 2025]","https://discourse.onlinedegree.iitm.ac.in/t/ga4-data-sourcing-discussion-thread-tds-may-2025/178881","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025",",","graded-assignment","https://discourse.onlinedegree.iitm.ac.in/tag/graded-assignment",",","week-4","https://discourse.onlinedegree.iitm.ac.in/tag/week-4","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/s.anand/48/15264_2.png","https://discourse.onlinedegree.iitm.ac.in/u/carlton","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/carlton/48/56317_2.png","https://discourse.onlinedegree.iitm.ac.in/t/ga4-data-sourcing-discussion-thread-tds-may-2025/178881/1","1","158","https://discourse.onlinedegree.iitm.ac.in/t/ga4-data-sourcing-discussion-thread-tds-may-2025/178881/2","3d","","","","","","",""
"[object Object]","Project1 - Virtual TA - Discussion Thread [TDS May 2025]","https://discourse.onlinedegree.iitm.ac.in/t/project1-virtual-ta-discussion-thread-tds-may-2025/176077","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025",",","tds-project-1","https://discourse.onlinedegree.iitm.ac.in/tag/tds-project-1","","","","https://avatars.discourse-cdn.com/v4/letter/j/b9bd4f/48.png","https://discourse.onlinedegree.iitm.ac.in/u/23f2004496","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/carlton/48/56317_2.png","https://discourse.onlinedegree.iitm.ac.in/t/project1-virtual-ta-discussion-thread-tds-may-2025/176077/1","398","2.7k","https://discourse.onlinedegree.iitm.ac.in/t/project1-virtual-ta-discussion-thread-tds-may-2025/176077/409","13m","https://discourse.onlinedegree.iitm.ac.in/u/jivraj","https://discourse.onlinedegree.iitm.ac.in/u/carlton","https://discourse.onlinedegree.iitm.ac.in/u/karvy","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/karvy/48/67600_2.png","https://discourse.onlinedegree.iitm.ac.in/u/23f1002231","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/23f1002231/48/78871_2.png","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/23f2004496/48/68308_2.png"
"[object Object]","TDS | References | Guidelines","https://discourse.onlinedegree.iitm.ac.in/t/tds-references-guidelines/67216","operational","https://discourse.onlinedegree.iitm.ac.in/tag/operational",",","announcement","https://discourse.onlinedegree.iitm.ac.in/tag/announcement",",","term1-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term1-2025","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/sukraat/48/21009_2.png","https://discourse.onlinedegree.iitm.ac.in/u/pds_staff","https://avatars.discourse-cdn.com/v4/letter/s/59ef9b/48.png","https://discourse.onlinedegree.iitm.ac.in/t/tds-references-guidelines/67216/1","3","681","https://discourse.onlinedegree.iitm.ac.in/t/tds-references-guidelines/67216/5","Oct 2022","https://discourse.onlinedegree.iitm.ac.in/u/shriaviator","","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/pds_staff/48/71791_2.png","","",""
"[object Object]","About the Tools in Data Science category","https://discourse.onlinedegree.iitm.ac.in/t/about-the-tools-in-data-science-category/23335","","","","","","","","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/jkmadathil/48/100121_2.png","https://discourse.onlinedegree.iitm.ac.in/u/23f2003845","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/maheshbalan/48/13253_2.png","https://discourse.onlinedegree.iitm.ac.in/t/about-the-tools-in-data-science-category/23335/1","41","3.1k","https://discourse.onlinedegree.iitm.ac.in/t/about-the-tools-in-data-science-category/23335/42","Jan 27","https://discourse.onlinedegree.iitm.ac.in/u/jkmadathil","https://discourse.onlinedegree.iitm.ac.in/u/anand","https://discourse.onlinedegree.iitm.ac.in/u/bidisha143","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/anand/48/1555_2.png","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/bidisha143/48/14292_2.png","https://avatars.discourse-cdn.com/v4/letter/2/6f9a4e/48.png"
"","CORS settings for the deployed project","https://discourse.onlinedegree.iitm.ac.in/t/cors-settings-for-the-deployed-project/179183","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025",",","tds-project-1","https://discourse.onlinedegree.iitm.ac.in/tag/tds-project-1",",","tds-project-one","https://discourse.onlinedegree.iitm.ac.in/tag/tds-project-one","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/rohith10/48/68308_2.png","https://discourse.onlinedegree.iitm.ac.in/u/rohith10","","https://discourse.onlinedegree.iitm.ac.in/t/cors-settings-for-the-deployed-project/179183/1","1","25","https://discourse.onlinedegree.iitm.ac.in/t/cors-settings-for-the-deployed-project/179183/2","4h","","","","","","",""
"","A humble request to the TDS Course Team","https://discourse.onlinedegree.iitm.ac.in/t/a-humble-request-to-the-tds-course-team/179034","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025",",","tds-project-1","https://discourse.onlinedegree.iitm.ac.in/tag/tds-project-1","","","","https://avatars.discourse-cdn.com/v4/letter/2/58956e/48.png","https://discourse.onlinedegree.iitm.ac.in/u/ianimeshs","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/23f2000566/48/66771_2.png","https://discourse.onlinedegree.iitm.ac.in/t/a-humble-request-to-the-tds-course-team/179034/1","6","187","https://discourse.onlinedegree.iitm.ac.in/t/a-humble-request-to-the-tds-course-team/179034/7","4h","https://discourse.onlinedegree.iitm.ac.in/u/23f1000917","https://discourse.onlinedegree.iitm.ac.in/u/23f2000566","https://discourse.onlinedegree.iitm.ac.in/u/23f2004624","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/23f2004624/48/68083_2.png","https://discourse.onlinedegree.iitm.ac.in/u/lokesh21","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/lokesh21/48/17843_2.png","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/ianimeshs/48/12415_2.png"
"","Project 1 submission deadline","https://discourse.onlinedegree.iitm.ac.in/t/project-1-submission-deadline/179145","miscellaneous","https://discourse.onlinedegree.iitm.ac.in/tag/miscellaneous",",","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025","","","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/lokesh21/48/17843_2.png","https://discourse.onlinedegree.iitm.ac.in/u/22f3002149","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/22f3002149/48/126915_2.png","https://discourse.onlinedegree.iitm.ac.in/t/project-1-submission-deadline/179145/1","1","104","https://discourse.onlinedegree.iitm.ac.in/t/project-1-submission-deadline/179145/2","6h","https://discourse.onlinedegree.iitm.ac.in/u/lokesh21","","","","","",""
"","Npx -y promptfoo eval –config project-tds-virtual-ta-promptfoo.yaml error","https://discourse.onlinedegree.iitm.ac.in/t/npx-y-promptfoo-eval-config-project-tds-virtual-ta-promptfoo-yaml-error/179170","clarification","https://discourse.onlinedegree.iitm.ac.in/tag/clarification",",","diploma-level","https://discourse.onlinedegree.iitm.ac.in/tag/diploma-level",",","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/23f1000129/48/122013_2.png","https://discourse.onlinedegree.iitm.ac.in/u/23f1000129","","https://discourse.onlinedegree.iitm.ac.in/t/npx-y-promptfoo-eval-config-project-tds-virtual-ta-promptfoo-yaml-error/179170/1","1","32","https://discourse.onlinedegree.iitm.ac.in/t/npx-y-promptfoo-eval-config-project-tds-virtual-ta-promptfoo-yaml-error/179170/2","6h","","","","","","",""
"","Github account made using the IITM email id keeps getting blocked","https://discourse.onlinedegree.iitm.ac.in/t/github-account-made-using-the-iitm-email-id-keeps-getting-blocked/179166","diploma-level","https://discourse.onlinedegree.iitm.ac.in/tag/diploma-level",",","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025","","","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/krishnandu/48/67329_2.png","https://discourse.onlinedegree.iitm.ac.in/u/krishnandu","","https://discourse.onlinedegree.iitm.ac.in/t/github-account-made-using-the-iitm-email-id-keeps-getting-blocked/179166/1","0","27","https://discourse.onlinedegree.iitm.ac.in/t/github-account-made-using-the-iitm-email-id-keeps-getting-blocked/179166/1","7h","","","","","","",""
"","Help required in Project 1 - scrapping Discourse data","https://discourse.onlinedegree.iitm.ac.in/t/help-required-in-project-1-scrapping-discourse-data/179153","term2-2025","https://discourse.onlinedegree.iitm.ac.in/tag/term2-2025",",","tds-project-1","https://discourse.onlinedegree.iitm.ac.in/tag/tds-project-1","","","","https://dub1.discourse-cdn.com/flex013/user_avatar/discourse.onlinedegree.iitm.ac.in/21f3001080/48/32082_2.png","https://discourse.onlinedegree.iitm.ac.in/u/21f3001080","","https://discourse.onlinedegree.iitm.ac.in/t/help-required-in-project-1-scrapping-discourse-data/179153/1","0","41","https://discourse.onlinedegree.iitm.ac.in/t/help-required-in-project-1-scrapping-discourse-data/179153/1","8h","","","","","","",""
